fips,No. of clinics per 1000 women with demand,colour assignment 
1001,0.2999,0.5
1003,0.2624,0.5
1005,1.2658,1.5
1007,2.1186,2.5
1009,0.317,0.5
1011,1.0101,1.5
1013,0.4566,0.5
1015,0.2165,0.5
1017,0.2584,0.5
1019,0.8475,0.5
1021,0.5929,0.5
1023,1.5625,1.5
1025,0.3788,0.5
1027,1.4706,1.5
1029,1.3889,1.5
1031,0.3396,0.5
1033,0.3322,0.5
1035,1.6393,1.5
1037,0.9901,0.5
1039,0.271,0.5
1041,1.4085,1.5
1043,0.2208,0.5
1045,0.3448,0.5
1047,0.2004,0.5
1049,0.6757,0.5
1051,0.1938,0.5
1053,1.3441,1.5
1055,0.7673,0.5
1057,0.6452,0.5
1059,0.3049,0.5
1061,1.0714,1.5
1063,2.4096,2.5
1065,1.1364,1.5
1067,1.6854,1.5
1069,0.16,0.5
1071,1.2433,1.5
1073,0.115,0.5
1075,1.5152,1.5
1077,0.2688,0.5
1079,0.542,0.5
1081,0.0399,0.5
1083,0.1878,0.5
1085,1.7241,1.5
1087,0.7576,0.5
1089,0.0672,0.5
1091,0.4878,0.5
1093,0.3559,0.5
1095,0.0962,0.5
1097,0.3366,0.5
1099,0.885,0.5
1101,0.2271,0.5
1103,0.2257,0.5
1105,2.5862,2.5
1107,0.4425,0.5
1109,0.3676,0.5
1111,0.8929,0.5
1113,0.2628,0.5
1115,0.0387,0.5
1117,0.1005,0.5
1119,1.105,1.5
1121,0.3165,0.5
1123,0.495,0.5
1125,0.1233,0.5
1127,0.8671,0.5
1129,1.1765,1.5
1131,1.6807,1.5
1133,0.4545,0.5
2013,16,15
2016,10.6383,15
2020,0.1907,0.5
2050,6.9767,8
2060,9.0909,8
2070,10.1695,15
2090,0.3531,0.5
2100,8.6957,8
2105,25,15
2110,0.939,0.5
2122,2.3973,2.5
2130,1.2658,1.5
2150,3.1447,3.5
2164,31.5789,15
2170,0.3949,0.5
2180,11.2069,15
2185,9.1954,8
2188,12.5,15
2195,9.375,8
2201,10,8
2220,3,2.5
2232,14.2857,15
2240,2.8986,2.5
2261,4,3.5
2270,8.6957,8
2280,15,15
2282,60,15
2290,9.434,8
4001,2.1192,2.5
