fips,"Total publicly funded clinics, 2015 [1]","no. of women with demand, 18 and under to 44",No. of clinics per women with demand,No. of clinics per 1000 women with demand
1001,2.0000,6670.0000,0.0003,0.2999
1003,6.0000,22870.0000,0.0003,0.2624
1005,3.0000,2370.0000,0.0013,1.2658
1007,5.0000,2360.0000,0.0021,2.1186
1009,2.0000,6310.0000,0.0003,0.3170
1011,1.0000,990.0000,0.0010,1.0101
1013,1.0000,2190.0000,0.0005,0.4566
1015,3.0000,13860.0000,0.0002,0.2165
1017,1.0000,3870.0000,0.0003,0.2584
1019,2.0000,2360.0000,0.0008,0.8475
1021,3.0000,5060.0000,0.0006,0.5929
1023,2.0000,1280.0000,0.0016,1.5625
1025,1.0000,2640.0000,0.0004,0.3788
1027,2.0000,1360.0000,0.0015,1.4706
1029,2.0000,1440.0000,0.0014,1.3889
1031,2.0000,5890.0000,0.0003,0.3396
1033,2.0000,6020.0000,0.0003,0.3322
1035,2.0000,1220.0000,0.0016,1.6393
1037,1.0000,1010.0000,0.0010,0.9901
1039,1.0000,3690.0000,0.0003,0.2710
1041,2.0000,1420.0000,0.0014,1.4085
1043,2.0000,9060.0000,0.0002,0.2208
1045,2.0000,5800.0000,0.0003,0.3448
1047,1.0000,4990.0000,0.0002,0.2004
1049,5.0000,7400.0000,0.0007,0.6757
1051,2.0000,10320.0000,0.0002,0.1938
1053,5.0000,3720.0000,0.0013,1.3441
1055,9.0000,11730.0000,0.0008,0.7673
1057,1.0000,1550.0000,0.0006,0.6452
1059,1.0000,3280.0000,0.0003,0.3049
1061,3.0000,2800.0000,0.0011,1.0714
1063,2.0000,830.0000,0.0024,2.4096
1065,2.0000,1760.0000,0.0011,1.1364
1067,3.0000,1780.0000,0.0017,1.6854
1069,2.0000,12500.0000,0.0002,0.1600
1071,7.0000,5630.0000,0.0012,1.2433
1073,10.0000,86980.0000,0.0001,0.1150
1075,2.0000,1320.0000,0.0015,1.5152
1077,3.0000,11160.0000,0.0003,0.2688
1079,2.0000,3690.0000,0.0005,0.5420
1081,1.0000,25090.0000,0.0000,0.0399
1083,2.0000,10650.0000,0.0002,0.1878
1085,2.0000,1160.0000,0.0017,1.7241
1087,2.0000,2640.0000,0.0008,0.7576
1089,3.0000,44630.0000,0.0001,0.0672
1091,1.0000,2050.0000,0.0005,0.4878
