,fips,state,name,area_2010,unemployment_rate_2019,per_capita_income_2019,"Total publicly funded clinics, 2015 [1]",proportion_votes_democrats_2016,proportion_votes_republican_2016,clinics_per_sqmiles,clinics_per_1000_sqmiles,percent_votes_democrats_2016,percent_votes_republican_2016,Rates_of_adherence_per_1000_population
0,1001,Alabama,Autauga County,594.44,3.5,29819,2,0.23956855,0.734357893,0.003364511,3.36,23.96,73.44,676.88
1,1003,Alabama,Baldwin County,1589.78,4,32626,6,0.195653098,0.77351472,0.003774107,3.77,19.57,77.35,531.74
2,1005,Alabama,Barbour County,884.88,9.4,18473,3,0.466602502,0.522714148,0.00339029,3.39,46.66,52.27,549.99
3,1007,Alabama,Bibb County,622.58,7,20778,5,0.214220393,0.769661637,0.008031096,8.03,21.42,76.97,498.8
4,1009,Alabama,Blount County,644.78,3.1,24747,2,0.084699023,0.898518752,0.003101833,3.10,8.47,89.85,651.62
5,1011,Alabama,Bullock County,622.81,4.1,20877,1,0.750904063,0.242288875,0.001605626,1.61,75.09,24.23,577.24
6,1013,Alabama,Butler County,776.83,7,21038,1,0.427864134,0.563154865,0.001287283,1.29,42.79,56.32,586.15
7,1015,Alabama,Calhoun County,605.87,7.2,25345,3,0.278558764,0.692396994,0.004951557,4.95,27.86,69.24,713.62
8,1017,Alabama,Chambers County,596.53,4,22729,1,0.418275512,0.56633764,0.001676362,1.68,41.83,56.63,650.33
9,1019,Alabama,Cherokee County,553.7,4.4,24301,2,0.1451014,0.838712749,0.003612064,3.61,14.51,83.87,479.24
10,1021,Alabama,Chilton County,692.85,6.5,24658,3,0.159353602,0.825417694,0.004329942,4.33,15.94,82.54,698.58
11,1023,Alabama,Choctaw County,913.5,8.7,22308,2,0.427765548,0.564391855,0.002189381,2.19,42.78,56.44,701.42
12,1025,Alabama,Clarke County,1238.47,11.6,22225,1,0.441558442,0.549551639,0.000807448,0.81,44.16,54.96,792.4
13,1027,Alabama,Clay County,603.96,5.6,23519,2,0.187766281,0.795800365,0.003311478,3.31,18.78,79.58,739.66
14,1029,Alabama,Cleburne County,560.1,5.4,23142,2,0.104715248,0.878444581,0.003570791,3.57,10.47,87.84,765.63
15,1031,Alabama,Coffee County,678.97,5.6,27806,2,0.204455711,0.771462,0.002945638,2.95,20.45,77.15,661.11
16,1033,Alabama,Colbert County,592.62,4.1,25536,2,0.296272233,0.678875985,0.003374844,3.37,29.63,67.89,694.59
17,1035,Alabama,Conecuh County,850.16,9.7,19769,2,0.469050894,0.521626165,0.002352498,2.35,46.91,52.16,570.76
18,1037,Alabama,Coosa County,650.93,2.3,23694,1,0.340800306,0.646371817,0.001536263,1.54,34.08,64.64,532.8
19,1039,Alabama,Covington County,1030.46,7.8,23687,1,0.15039828,0.835883171,0.00097044,0.97,15.04,83.59,619.25
20,1041,Alabama,Crenshaw County,608.84,3.4,24563,2,0.265994882,0.721529111,0.003284935,3.28,26.60,72.15,631.67
21,1043,Alabama,Cullman County,734.84,4.3,23468,2,0.100059016,0.878105049,0.002721681,2.72,10.01,87.81,781.02
22,1045,Alabama,Dale County,561.15,7,24645,2,0.236772842,0.741150561,0.003564109,3.56,23.68,74.12,492.17
23,1047,Alabama,Dallas County,978.7,11.5,19612,1,0.684783769,0.308809397,0.001021764,1.02,68.48,30.88,605.8
