,fips,No. of clinics per 1000 women with demand
0,1001,0.2999
1,1003,0.2624
2,1005,1.2658
3,1007,2.1186
4,1009,0.3170
5,1011,1.0101
6,1013,0.4566
7,1015,0.2165
8,1017,0.2584
9,1019,0.8475
10,1021,0.5929
11,1023,1.5625
12,1025,0.3788
13,1027,1.4706
14,1029,1.3889
15,1031,0.3396
16,1033,0.3322
17,1035,1.6393
18,1037,0.9901
19,1039,0.2710
20,1041,1.4085
21,1043,0.2208
22,1045,0.3448
23,1047,0.2004
24,1049,0.6757
25,1051,0.1938
26,1053,1.3441
27,1055,0.7673
28,1057,0.6452
29,1059,0.3049
30,1061,1.0714
31,1063,2.4096
32,1065,1.1364
33,1067,1.6854
34,1069,0.1600
35,1071,1.2433
36,1073,0.1150
37,1075,1.5152
38,1077,0.2688
39,1079,0.5420
40,1081,0.0399
41,1083,0.1878
42,1085,1.7241
43,1087,0.7576
44,1089,0.0672
45,1091,0.4878
46,1093,0.3559
47,1095,0.0962
48,1097,0.3366
49,1099,0.8850
50,1101,0.2271
51,1103,0.2257
52,1105,2.5862
53,1107,0.4425
54,1109,0.3676
55,1111,0.8929
56,1113,0.2628
57,1115,0.0387
58,1117,0.1005
59,1119,1.1050
60,1121,0.3165
61,1123,0.4950
62,1125,0.1233
63,1127,0.8671
64,1129,1.1765
65,1131,1.6807
66,1133,0.4545
67,2013,16.0000
68,2016,10.6383
69,2020,0.1907
70,2050,6.9767
71,2060,9.0909
72,2068,#VALUE!
73,2070,10.1695
74,2090,0.3531
75,2100,8.6957
76,2105,25.0000
77,2110,0.9390
78,2122,2.3973
79,2130,1.2658
80,2150,3.1447
81,2164,31.5789
82,2170,0.3949
83,2180,11.2069
84,2185,9.1954
85,2188,12.5000
86,2195,9.3750
87,2201,10.0000
88,2220,3.0000
89,2232,14.2857
90,2240,2.8986
91,2261,4.0000
92,2270,8.6957
93,2280,15.0000
94,2282,60.0000
95,2290,9.4340
96,4001,2.1192
97,4003,0.7930
98,4005,0.7731
99,4007,1.0870
100,4009,0.9281
101,4011,2.7523
102,4012,1.4085
103,4013,0.1274
104,4015,0.4614
105,4017,1.2216
106,4019,0.3868
107,4021,0.4159
108,4023,0.9901
109,4025,0.2681
110,4027,0.3484
111,5001,1.0526
112,5003,1.9608
113,5005,0.2924
114,5007,0.1229
115,5009,0.2571
116,5011,0.9009
117,5013,4.0000
118,5015,0.8163
119,5017,3.0303
120,5019,0.2857
121,5021,2.0690
122,5023,0.4785
123,5025,2.2727
124,5027,0.3106
125,5029,0.4926
126,5031,0.2762
127,5033,0.4249
128,5035,0.6299
129,5037,1.6484
130,5039,1.4706
131,5041,1.6260
132,5043,0.8811
133,5045,0.1609
134,5047,0.5917
135,5049,1.0417
136,5051,0.0970
137,5053,0.9901
138,5055,0.3774
139,5057,0.4444
140,5059,0.2890
141,5061,0.7194
142,5063,0.4785
143,5065,0.9709
144,5067,1.0638
145,5069,0.6039
146,5071,0.3584
147,5073,1.6393
148,5075,0.5714
149,5077,2.6667
150,5079,1.8349
151,5081,0.7634
152,5083,1.4286
153,5085,0.7761
154,5087,1.2121
155,5089,1.6129
156,5091,0.1969
157,5093,0.5693
158,5095,4.1667
159,5097,1.4493
160,5099,1.2987
161,5101,4.4118
162,5103,0.3968
163,5105,1.9231
164,5107,0.8969
165,5109,0.9524
166,5111,1.8116
167,5113,1.1173
168,5115,0.1224
169,5117,4.1667
170,5119,0.1341
171,5121,1.1905
172,5123,0.0716
173,5125,1.0417
174,5127,3.0303
175,5129,0.1929
176,5131,#VALUE!
177,5133,1.4388
178,5135,0.7547
179,5137,0.9804
180,5139,0.2288
181,5141,2.2556
182,5143,0.1522
183,5145,0.4960
184,5147,6.3492
185,5149,0.8929
186,6001,0.2820
187,6003,11.1111
188,6005,1.4652
189,6007,0.8183
190,6009,1.6901
191,6011,2.6549
192,6013,0.2228
193,6015,3.1373
194,6017,0.4870
195,6019,0.5130
196,6021,2.3810
197,6023,1.5263
198,6025,0.7576
199,6027,3.7975
200,6029,0.5839
201,6031,1.1745
202,6033,1.6639
203,6035,1.9685
204,6037,0.2493
205,6039,0.6890
206,6041,0.5686
207,6043,2.1127
208,6045,2.7057
209,6047,0.7344
210,6049,4.0000
211,6051,0.6897
212,6053,0.4636
213,6055,0.6053
214,6057,0.8889
215,6059,0.1555
216,6061,0.2357
217,6063,4.6980
218,6065,0.1783
219,6067,0.1500
220,6069,0.8380
221,6071,0.1969
222,6073,0.2800
223,6075,0.3929
224,6077,0.3468
225,6079,0.6482
226,6081,0.1645
227,6083,0.7135
228,6085,0.2215
229,6087,0.3881
230,6089,0.8687
231,6091,10.0000
232,6093,4.3597
233,6095,0.3293
234,6097,0.5308
235,6099,0.6129
236,6101,0.6019
237,6103,1.2012
238,6105,5.0505
239,6107,0.8833
240,6109,1.0504
241,6111,0.3928
242,6113,0.2924
243,6115,0.5187
244,8001,0.2381
245,8003,1.8182
246,8005,0.0941
247,8007,0.9804
248,8009,#VALUE!
249,8011,3.0303
250,8013,0.1787
251,8014,0.1147
252,8015,0.6849
253,8017,6.2500
254,8019,#VALUE!
255,8021,3.8961
256,8023,3.5714
257,8025,#VALUE!
258,8027,#VALUE!
259,8029,0.4016
260,8031,0.3736
261,8033,5.8824
262,8035,0.1269
263,8037,0.2963
264,8039,0.2198
265,8041,0.3953
266,8043,0.5634
267,8045,0.8392
268,8047,#VALUE!
269,8049,1.3245
270,8051,0.4673
271,8053,#VALUE!
272,8055,2.1739
273,8057,#VALUE!
274,8059,0.1442
275,8061,#VALUE!
276,8063,2.8571
277,8065,0.5900
278,8067,2.3529
